functions                                            uri                                                                                           times  
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:196:24                     5      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:196:24                     5      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                     1      
_MyHomePageState._incrementCounter                   /Users/littlegnal/codes/personal-project/glance_plugin/glance/example/lib/main.dart:147:27    1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                     1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:486:3                      2      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_MyHomePageState._incrementCounter                   /Users/littlegnal/codes/personal-project/glance_plugin/glance/example/lib/main.dart:147:27    1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_OperatorEqualsAndHashCode._equals                   third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                     1      
_OperatorEqualsAndHashCode._equals                   third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                     1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        43     
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        6      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
stub InvokeDartCode                                  ??:0:0                                                                                        100    
_dispatchPointerDataPacket                           lib/ui/hooks.dart:260:1                                                                       97     
_dispatchPointerDataPacket                           lib/ui/hooks.dart:0:0                                                                         97     
PlatformDispatcher._dispatchPointerDataPacket        lib/ui/platform_dispatcher.dart:0:0                                                           97     
_invoke1                                             lib/ui/hooks.dart:0:0                                                                         97     
GestureBinding._handlePointerDataPacket              /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:293:3            97     
GestureBinding._handlePointerDataPacket              /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:0:0              97     
GestureBinding.handlePointerEvent                    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:0:0              97     
GestureBinding.handlePointerEvent                    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:0:0              97     
GestureBinding._handlePointerEventImmediately        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:0:0              97     
RendererBinding.dispatchEvent                        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:0:0             97     
GestureBinding.dispatchEvent                         /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:0:0              97     
GestureBinding.handleEvent                           /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:0:0              97     
GestureArenaManager.sweep                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/arena.dart:0:0                97     
BaseTapGestureRecognizer.acceptGesture               /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/tap.dart:0:0                  97     
BaseTapGestureRecognizer._checkUp                    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/tap.dart:310:5                97     
TapGestureRecognizer.handleTapUp                     /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/tap.dart:0:0                  97     
GestureRecognizer.invokeCallback                     /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/recognizer.dart:0:0           97     
_InkResponseState.handleTap                          /Users/littlegnal/dev/flutter/packages/flutter/lib/src/material/ink_well.dart:1162:3          97     
_InkResponseState.handleTap                          /Users/littlegnal/dev/flutter/packages/flutter/lib/src/material/ink_well.dart:0:0             97     
_MyHomePageState._incrementCounter                   /Users/littlegnal/codes/personal-project/glance_plugin/glance/example/lib/main.dart:142:3     97     
_LinkedHashMapMixin.[]=                              third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        86     
_LinkedHashMapMixin.[]=                              third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        86     
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:518:3                      3      

