functions                                                uri                                                                                            times  
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           20     
StatelessElement.update                                  /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5553:3           7      
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           46     
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           46     
Element.rebuild                                          /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5197:7           1      
Element.rebuild                                          /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5197:7           1      
InheritedElement.updated                                 /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:6061:13          1      
IconTheme.updateShouldNotify                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/icon_theme.dart:88:3            1      
IconThemeData.==                                         /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/icon_theme_data.dart:206:24     1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
jsonEncode                                               third_party/dart/sdk/lib/convert/json.dart:114:10                                              1      
jsonEncode                                               third_party/dart/sdk/lib/convert/json.dart:114:10                                              1      
_LinkedHashMapMixin.[]=                                  third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:515:5                       1      
_LinkedHashMapMixin.[]=                                  third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:515:5                       1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
String.==                                                third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:1027:18                            1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
String.==                                                third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:1027:18                            1      
